txn_id,member_id,date,request_type,revenue,variable_cost,partner_fee,sla_met
T200000,M100100,2026-02-21,Lifestyle,10.62,5.18,1.25,1
T200001,M100183,2026-01-16,Dining,6.62,9.35,1.31,1
T200002,M101446,2025-10-06,Gifts,9.05,3.23,0.75,1
T200003,M100449,2025-10-25,Lifestyle,12.86,4.83,0.47,1
T200004,M100148,2025-10-03,Gifts,11.29,7.59,1.04,1
T200005,M101070,2025-12-24,Lifestyle,5.78,9.06,0.91,1
T200006,M100265,2025-09-11,Gifts,17.43,7.46,0.85,1
T200007,M100110,2025-09-13,Events,16.63,8.85,1.73,1
T200008,M100731,2025-12-21,Events,19.82,9.41,1.11,1
T200009,M100990,2026-01-19,Dining,12.61,6.13,0.54,1
T200010,M100949,2025-09-05,Dining,10.69,9.78,1.0,1
T200011,M101052,2025-12-25,Events,17.5,11.41,1.06,1
T200012,M100042,2025-11-28,Travel,25.09,9.78,0.65,1
T200013,M100523,2025-09-11,Travel,12.48,10.22,1.18,0
T200014,M100618,2026-01-08,Lifestyle,10.17,7.68,0.5,1
T200015,M100527,2025-09-19,Dining,13.24,4.29,0.62,1
T200016,M101006,2026-01-28,Travel,18.96,10.91,0.79,0
T200017,M100412,2026-01-04,Gifts,13.25,7.54,0.76,1
T200018,M101137,2025-12-18,Dining,10.46,3.93,0.94,1
T200019,M101684,2025-12-01,Events,18.52,8.59,0.64,1
T200020,M101189,2026-01-13,Dining,9.35,5.73,1.04,1
T200021,M100699,2025-09-19,Gifts,11.06,5.7,1.02,1
T200022,M100782,2025-10-29,Events,17.69,11.87,0.0,1
T200023,M101053,2025-10-28,Events,15.17,8.53,1.37,1
T200024,M101303,2025-10-17,Dining,16.11,8.12,1.07,1
T200025,M100542,2025-11-03,Gifts,7.72,7.18,0.84,0
T200026,M100069,2025-11-02,Travel,30.19,11.76,0.61,1
T200027,M101264,2025-10-30,Events,19.59,8.55,1.14,1
T200028,M101190,2025-10-19,Dining,14.63,10.18,0.68,1
T200029,M100182,2025-09-13,Dining,15.1,10.2,0.75,1
T200030,M101127,2026-01-21,Dining,13.8,7.63,0.79,1
T200031,M100128,2025-11-24,Dining,8.5,5.8,0.77,1
T200032,M101157,2026-01-23,Dining,8.36,6.63,0.81,1
T200033,M101339,2026-01-24,Dining,13.58,5.14,0.32,1
T200034,M100027,2025-09-08,Lifestyle,9.42,6.78,1.05,1
T200035,M101308,2025-12-02,Events,12.62,6.38,0.61,1
T200036,M100216,2025-10-22,Events,12.49,9.93,0.85,1
T200037,M100477,2025-10-17,Travel,21.07,13.41,0.73,1
T200038,M101268,2026-02-20,Dining,4.91,3.97,0.89,1
T200039,M100639,2025-11-29,Lifestyle,10.49,9.76,0.84,1
T200040,M101758,2026-01-24,Dining,1.42,7.13,0.75,1
T200041,M101723,2025-12-31,Lifestyle,11.09,4.6,0.95,1
T200042,M101776,2026-01-23,Gifts,11.26,6.46,1.21,1
T200043,M100187,2025-10-29,Travel,22.24,13.22,1.01,1
T200044,M100317,2026-02-02,Gifts,12.95,8.23,1.27,1
T200045,M100329,2025-12-06,Gifts,12.99,8.17,1.33,1
T200046,M101053,2026-01-01,Lifestyle,9.02,5.33,0.74,1
T200047,M100774,2025-09-05,Events,16.78,7.66,1.47,1
T200048,M101342,2025-10-07,Dining,13.71,6.6,0.76,1
T200049,M100507,2025-12-24,Events,18.96,9.57,0.45,0
T200050,M100359,2026-01-04,Dining,9.33,5.61,0.98,1
T200051,M101168,2025-10-19,Travel,13.6,8.4,1.1,1
T200052,M101111,2025-11-04,Events,18.82,6.68,1.59,1
T200053,M101243,2025-11-18,Dining,12.82,7.88,1.2,0
T200054,M100561,2026-02-13,Lifestyle,10.86,4.73,1.35,1
T200055,M100947,2026-02-12,Lifestyle,2.9,7.45,1.34,1
T200056,M101671,2025-11-03,Dining,12.83,6.06,0.7,1
T200057,M101100,2025-12-03,Dining,12.5,6.43,1.09,0
T200058,M101678,2025-09-29,Events,13.65,6.38,0.68,1
T200059,M100780,2026-02-20,Dining,8.91,6.72,0.94,1
T200060,M100080,2026-01-23,Dining,11.78,6.1,0.92,1
T200061,M101368,2025-10-06,Lifestyle,12.17,4.06,1.02,1
T200062,M100828,2025-09-02,Dining,9.04,5.59,1.47,1
T200063,M100075,2025-10-16,Dining,16.25,5.95,1.37,1
T200064,M100249,2026-02-23,Travel,16.92,6.66,0.9,1
T200065,M100563,2026-02-16,Dining,8.37,7.36,0.78,1
T200066,M100343,2025-09-20,Lifestyle,13.22,4.53,1.33,1
T200067,M101231,2025-11-28,Lifestyle,8.99,6.82,0.98,0
T200068,M101100,2025-11-28,Travel,27.06,14.56,1.37,1
T200069,M100593,2025-09-05,Dining,12.19,4.91,0.08,1
T200070,M100152,2026-01-12,Lifestyle,11.93,8.34,0.91,1
T200071,M100141,2026-01-05,Gifts,6.08,5.27,1.35,1
T200072,M101702,2025-10-25,Events,18.46,8.95,0.48,1
T200073,M100621,2025-09-16,Travel,16.48,6.31,0.38,1
T200074,M100193,2025-12-22,Events,17.29,9.24,0.4,1
T200075,M101280,2026-01-29,Dining,9.65,6.19,0.95,1
T200076,M101565,2026-02-15,Travel,21.3,14.79,0.66,1
T200077,M100219,2026-02-24,Gifts,11.81,2.92,1.04,0
T200078,M101700,2025-12-20,Travel,21.34,9.58,1.24,1
T200079,M101304,2025-11-22,Gifts,13.32,7.42,0.67,1
T200080,M100453,2025-11-29,Gifts,12.7,8.18,1.09,1
T200081,M101395,2026-01-13,Gifts,14.3,6.38,0.93,1
T200082,M100755,2025-10-27,Events,14.73,11.63,0.2,1
T200083,M101143,2025-09-20,Dining,11.04,6.12,0.56,1
T200084,M100228,2026-01-15,Gifts,13.56,7.74,1.08,1
T200085,M100439,2025-10-27,Lifestyle,10.84,3.48,1.11,1
T200086,M101392,2025-11-19,Dining,6.67,7.65,0.41,1
T200087,M101449,2025-10-25,Lifestyle,8.48,9.33,0.85,1
T200088,M100019,2026-02-23,Lifestyle,14.07,5.72,0.15,1
T200089,M100385,2025-10-27,Gifts,10.88,5.21,0.89,1
T200090,M101093,2025-10-14,Dining,13.67,4.05,1.11,1
T200091,M101630,2025-10-26,Gifts,11.48,7.44,0.35,1
T200092,M101213,2025-09-27,Travel,19.77,10.16,0.55,1
T200093,M101271,2025-10-14,Travel,24.16,13.33,0.43,1
T200094,M100699,2025-09-01,Dining,7.38,6.46,0.96,1
T200095,M100098,2025-10-28,Gifts,11.31,5.83,1.17,1
T200096,M101378,2025-12-07,Events,22.01,9.24,1.48,1
T200097,M101438,2025-09-28,Travel,20.47,10.75,0.37,1
T200098,M100797,2025-10-23,Travel,20.87,10.49,0.89,1
T200099,M100911,2025-11-17,Travel,18.06,10.27,1.25,1
T200100,M100423,2025-11-13,Travel,19.46,12.07,1.0,1
T200101,M100814,2025-12-24,Events,12.16,10.25,0.42,1
T200102,M100435,2025-11-07,Dining,15.49,10.66,0.84,1
T200103,M100756,2025-12-03,Travel,19.53,7.4,1.25,0
T200104,M100241,2026-02-02,Dining,11.07,5.24,0.91,1
T200105,M101091,2025-12-08,Gifts,14.97,8.0,1.14,1
T200106,M100445,2025-09-08,Events,14.75,6.68,1.23,1
T200107,M101304,2025-12-28,Gifts,16.06,9.52,0.41,1
T200108,M100931,2025-10-27,Travel,17.73,8.58,0.61,1
T200109,M101612,2025-12-13,Dining,9.72,7.24,0.65,1
T200110,M100398,2026-01-05,Travel,15.98,8.83,0.86,1
T200111,M100491,2025-12-18,Dining,14.43,6.62,0.87,1
T200112,M100437,2025-09-06,Travel,18.8,13.43,1.21,1
