member_id,segment,tier,join_date,channel,monthly_fee,status,churn_date
M100000,CapitalOneConcierge,Standard,2024-10-21,Partner,25.0,Churned,2026-01-25
M100001,VelocityBlack,Plus,2025-03-24,Direct,60.0,Active,
M100002,CapitalOneConcierge,Standard,2025-03-10,Direct,25.0,Active,
M100003,CapitalOneConcierge,Standard,2025-03-07,Direct,25.0,Active,
M100004,VelocityBlack,Plus,2025-12-21,Partner,60.0,Active,
M100005,CapitalOneConcierge,Standard,2024-09-06,Partner,25.0,Churned,2025-09-05
M100006,CapitalOneConcierge,Standard,2025-06-21,Direct,25.0,Active,
M100007,CapitalOneConcierge,Standard,2026-02-15,Direct,25.0,Active,
M100008,VelocityBlack,Plus,2025-12-19,Direct,60.0,Active,
M100009,CapitalOneConcierge,Standard,2025-07-27,Partner,25.0,Active,
M100010,VelocityBlack,Standard,2026-02-23,Direct,25.0,Active,
M100011,CapitalOneConcierge,Standard,2025-04-08,Partner,25.0,Active,
M100012,CapitalOneConcierge,Plus,2025-07-30,Direct,60.0,Active,
M100013,CapitalOneConcierge,Plus,2025-06-23,Direct,60.0,Active,
M100014,VelocityBlack,Premium,2024-09-28,Partner,150.0,Active,
M100015,VelocityBlack,Plus,2024-09-24,Direct,60.0,Active,
M100016,CapitalOneConcierge,Standard,2025-12-31,Direct,25.0,Active,
M100017,VelocityBlack,Plus,2024-12-05,Referral,60.0,Active,
M100018,CapitalOneConcierge,Standard,2025-03-13,Direct,25.0,Active,
M100019,CapitalOneConcierge,Premium,2025-08-05,Direct,150.0,Active,
M100020,CapitalOneConcierge,Plus,2025-07-10,Direct,60.0,Active,
M100021,VelocityBlack,Plus,2025-06-07,Direct,60.0,Active,
M100022,CapitalOneConcierge,Standard,2026-02-13,Partner,25.0,Active,
M100023,CapitalOneConcierge,Plus,2025-11-02,Direct,60.0,Active,
M100024,CapitalOneConcierge,Plus,2026-01-24,Referral,60.0,Active,
M100025,VelocityBlack,Standard,2025-08-24,Partner,25.0,Active,
M100026,CapitalOneConcierge,Plus,2026-02-13,Referral,60.0,Active,
M100027,VelocityBlack,Plus,2025-07-24,Partner,60.0,Active,
M100028,VelocityBlack,Premium,2025-06-22,Referral,150.0,Active,
M100029,CapitalOneConcierge,Standard,2025-11-17,Partner,25.0,Active,
M100030,CapitalOneConcierge,Standard,2025-12-16,Direct,25.0,Active,
M100031,CapitalOneConcierge,Premium,2024-10-09,Direct,150.0,Active,
M100032,VelocityBlack,Plus,2026-01-07,Partner,60.0,Active,
M100033,VelocityBlack,Standard,2025-09-11,Direct,25.0,Active,
M100034,CapitalOneConcierge,Plus,2025-12-31,Partner,60.0,Active,
M100035,VelocityBlack,Standard,2025-09-24,Direct,25.0,Active,
M100036,VelocityBlack,Standard,2026-01-16,Partner,25.0,Active,
M100037,CapitalOneConcierge,Standard,2025-01-29,Direct,25.0,Churned,2026-01-22
M100038,VelocityBlack,Premium,2024-12-13,Referral,150.0,Active,
M100039,CapitalOneConcierge,Standard,2024-12-17,Direct,25.0,Active,
M100040,VelocityBlack,Standard,2025-01-17,Direct,25.0,Active,
M100041,CapitalOneConcierge,Standard,2024-12-27,Partner,25.0,Active,
M100042,CapitalOneConcierge,Plus,2025-04-29,Partner,60.0,Active,
M100043,VelocityBlack,Premium,2024-12-18,Partner,150.0,Active,
M100044,CapitalOneConcierge,Standard,2024-11-27,Referral,25.0,Active,
M100045,CapitalOneConcierge,Plus,2025-06-12,Direct,60.0,Active,
M100046,VelocityBlack,Standard,2025-11-05,Partner,25.0,Active,
M100047,VelocityBlack,Plus,2024-11-15,Direct,60.0,Active,
M100048,CapitalOneConcierge,Standard,2025-06-06,Direct,25.0,Active,
M100049,VelocityBlack,Premium,2025-08-25,Direct,150.0,Churned,2026-01-24
M100050,VelocityBlack,Standard,2025-09-19,Direct,25.0,Active,
M100051,VelocityBlack,Premium,2024-10-29,Partner,150.0,Active,
M100052,CapitalOneConcierge,Standard,2025-10-04,Partner,25.0,Active,
M100053,CapitalOneConcierge,Standard,2024-09-17,Direct,25.0,Active,
M100054,CapitalOneConcierge,Standard,2025-01-08,Referral,25.0,Active,
M100055,CapitalOneConcierge,Standard,2025-02-22,Direct,25.0,Active,
M100056,CapitalOneConcierge,Standard,2025-12-07,Direct,25.0,Active,
M100057,CapitalOneConcierge,Standard,2024-12-15,Partner,25.0,Churned,2025-08-17
M100058,VelocityBlack,Standard,2025-10-30,Direct,25.0,Active,
M100059,VelocityBlack,Standard,2026-02-18,Direct,25.0,Active,
M100060,CapitalOneConcierge,Standard,2026-02-03,Partner,25.0,Active,
M100061,CapitalOneConcierge,Premium,2025-02-13,Direct,150.0,Active,
M100062,CapitalOneConcierge,Plus,2024-10-24,Direct,60.0,Active,
M100063,CapitalOneConcierge,Plus,2024-12-31,Partner,60.0,Active,
M100064,CapitalOneConcierge,Standard,2025-10-23,Direct,25.0,Active,
M100065,CapitalOneConcierge,Standard,2024-12-18,Partner,25.0,Active,
M100066,CapitalOneConcierge,Standard,2025-08-17,Partner,25.0,Active,
M100067,VelocityBlack,Standard,2025-03-23,Direct,25.0,Active,
M100068,VelocityBlack,Plus,2025-10-22,Direct,60.0,Active,
M100069,VelocityBlack,Premium,2025-07-27,Direct,150.0,Active,
M100070,VelocityBlack,Standard,2025-07-16,Partner,25.0,Active,
M100071,VelocityBlack,Plus,2025-10-30,Direct,60.0,Active,
M100072,CapitalOneConcierge,Standard,2026-01-31,Referral,25.0,Active,
M100073,VelocityBlack,Premium,2025-03-18,Direct,150.0,Active,
M100074,VelocityBlack,Premium,2025-06-15,Partner,150.0,Churned,2026-02-13
M100075,VelocityBlack,Premium,2025-08-07,Direct,150.0,Active,
M100076,VelocityBlack,Standard,2025-11-21,Direct,25.0,Active,
M100077,CapitalOneConcierge,Plus,2025-05-21,Direct,60.0,Active,
M100078,CapitalOneConcierge,Standard,2025-03-24,Partner,25.0,Active,
M100079,CapitalOneConcierge,Standard,2025-12-04,Referral,25.0,Active,
M100080,CapitalOneConcierge,Plus,2026-01-30,Direct,60.0,Active,
M100081,VelocityBlack,Plus,2025-07-07,Direct,60.0,Active,
M100082,CapitalOneConcierge,Standard,2024-10-28,Direct,25.0,Active,
M100083,VelocityBlack,Plus,2025-02-06,Direct,60.0,Churned,2025-12-25
M100084,VelocityBlack,Standard,2025-05-10,Referral,25.0,Active,
M100085,VelocityBlack,Standard,2025-09-17,Referral,25.0,Active,
M100086,CapitalOneConcierge,Standard,2025-08-30,Referral,25.0,Active,
M100087,CapitalOneConcierge,Premium,2025-11-19,Direct,150.0,Active,
M100088,VelocityBlack,Premium,2024-09-19,Direct,150.0,Active,
M100089,CapitalOneConcierge,Standard,2025-05-12,Partner,25.0,Active,
M100090,VelocityBlack,Standard,2025-09-16,Direct,25.0,Active,
M100091,CapitalOneConcierge,Plus,2026-02-18,Partner,60.0,Active,
M100092,VelocityBlack,Plus,2024-11-18,Direct,60.0,Churned,2025-08-27
M100093,VelocityBlack,Standard,2025-12-21,Direct,25.0,Active,
M100094,VelocityBlack,Standard,2024-09-07,Referral,25.0,Active,
M100095,CapitalOneConcierge,Standard,2024-12-18,Direct,25.0,Active,
M100096,VelocityBlack,Plus,2025-12-04,Referral,60.0,Active,
M100097,VelocityBlack,Standard,2025-11-01,Direct,25.0,Churned,2025-09-23
M100098,VelocityBlack,Standard,2026-02-10,Direct,25.0,Active,
M100099,CapitalOneConcierge,Standard,2025-07-24,Direct,25.0,Churned,2025-10-12
M100100,CapitalOneConcierge,Plus,2025-08-01,Direct,60.0,Churned,2025-07-07
M100101,CapitalOneConcierge,Standard,2025-06-18,Direct,25.0,Active,
M100102,VelocityBlack,Premium,2025-06-06,Direct,150.0,Active,
M100103,CapitalOneConcierge,Plus,2025-06-07,Partner,60.0,Active,
M100104,CapitalOneConcierge,Standard,2025-02-07,Referral,25.0,Active,
M100105,CapitalOneConcierge,Standard,2025-12-07,Direct,25.0,Active,
M100106,VelocityBlack,Plus,2025-03-14,Direct,60.0,Active,
M100107,VelocityBlack,Standard,2025-07-29,Direct,25.0,Active,
M100108,VelocityBlack,Premium,2025-08-30,Partner,150.0,Active,
M100109,CapitalOneConcierge,Plus,2025-06-20,Partner,60.0,Active,
M100110,CapitalOneConcierge,Plus,2025-07-30,Direct,60.0,Active,
M100111,VelocityBlack,Standard,2024-09-29,Direct,25.0,Active,
M100112,VelocityBlack,Premium,2025-02-20,Direct,150.0,Active,
M100113,CapitalOneConcierge,Plus,2025-05-03,Direct,60.0,Active,
M100114,VelocityBlack,Standard,2025-04-03,Direct,25.0,Active,
M100115,CapitalOneConcierge,Plus,2026-01-06,Referral,60.0,Churned,2026-01-16
M100116,CapitalOneConcierge,Plus,2025-12-31,Direct,60.0,Active,
M100117,CapitalOneConcierge,Plus,2025-09-22,Direct,60.0,Active,
M100118,VelocityBlack,Plus,2025-03-12,Direct,60.0,Active,
M100119,CapitalOneConcierge,Standard,2024-09-30,Partner,25.0,Active,
M100120,CapitalOneConcierge,Plus,2025-10-15,Direct,60.0,Active,
M100121,CapitalOneConcierge,Standard,2025-12-24,Direct,25.0,Active,
M100122,VelocityBlack,Plus,2025-05-25,Direct,60.0,Active,
M100123,VelocityBlack,Plus,2025-11-23,Partner,60.0,Active,
M100124,VelocityBlack,Standard,2026-01-18,Direct,25.0,Active,
M100125,CapitalOneConcierge,Plus,2025-06-25,Referral,60.0,Churned,2026-01-14
M100126,VelocityBlack,Plus,2024-12-25,Direct,60.0,Active,
M100127,VelocityBlack,Plus,2024-09-15,Direct,60.0,Active,
M100128,VelocityBlack,Standard,2025-10-16,Referral,25.0,Active,
M100129,CapitalOneConcierge,Plus,2025-07-03,Partner,60.0,Active,
M100130,VelocityBlack,Plus,2024-11-25,Direct,60.0,Active,
M100131,CapitalOneConcierge,Premium,2024-10-02,Partner,150.0,Active,
M100132,CapitalOneConcierge,Plus,2026-02-08,Direct,60.0,Active,
M100133,VelocityBlack,Premium,2025-02-23,Direct,150.0,Active,
M100134,CapitalOneConcierge,Standard,2025-02-26,Partner,25.0,Active,
M100135,VelocityBlack,Standard,2025-08-08,Partner,25.0,Churned,2025-09-26
M100136,CapitalOneConcierge,Standard,2025-03-18,Direct,25.0,Active,
M100137,CapitalOneConcierge,Plus,2026-01-08,Partner,60.0,Active,
M100138,CapitalOneConcierge,Plus,2025-09-05,Direct,60.0,Active,
M100139,VelocityBlack,Standard,2025-03-15,Direct,25.0,Active,
M100140,CapitalOneConcierge,Standard,2025-01-24,Referral,25.0,Churned,2025-07-31
M100141,CapitalOneConcierge,Standard,2025-12-11,Direct,25.0,Active,
M100142,CapitalOneConcierge,Plus,2025-07-19,Partner,60.0,Active,
M100143,CapitalOneConcierge,Standard,2026-01-11,Partner,25.0,Active,
M100144,CapitalOneConcierge,Standard,2025-03-08,Partner,25.0,Active,
M100145,VelocityBlack,Premium,2024-09-14,Direct,150.0,Active,
M100146,VelocityBlack,Standard,2026-01-01,Referral,25.0,Churned,2025-10-05
M100147,CapitalOneConcierge,Plus,2025-01-10,Partner,60.0,Churned,2025-11-30
M100148,VelocityBlack,Standard,2025-12-03,Partner,25.0,Active,
M100149,VelocityBlack,Premium,2025-09-21,Direct,150.0,Churned,2025-09-21
M100150,CapitalOneConcierge,Standard,2025-01-06,Direct,25.0,Active,
M100151,CapitalOneConcierge,Standard,2025-10-16,Direct,25.0,Churned,2026-01-21
M100152,VelocityBlack,Premium,2024-10-17,Direct,150.0,Active,
M100153,CapitalOneConcierge,Plus,2025-04-02,Direct,60.0,Active,
M100154,VelocityBlack,Premium,2025-03-14,Partner,150.0,Active,
M100155,CapitalOneConcierge,Standard,2025-08-23,Referral,25.0,Churned,2025-08-06
M100156,VelocityBlack,Plus,2025-06-18,Direct,60.0,Active,
M100157,CapitalOneConcierge,Standard,2025-07-30,Direct,25.0,Active,
M100158,CapitalOneConcierge,Premium,2025-05-18,Partner,150.0,Active,
M100159,CapitalOneConcierge,Standard,2025-10-07,Direct,25.0,Active,
M100160,VelocityBlack,Plus,2024-11-28,Referral,60.0,Active,
M100161,CapitalOneConcierge,Standard,2025-09-26,Direct,25.0,Churned,2025-12-13
M100162,VelocityBlack,Plus,2024-09-30,Direct,60.0,Active,
M100163,VelocityBlack,Standard,2024-10-19,Direct,25.0,Active,
M100164,CapitalOneConcierge,Standard,2025-09-28,Referral,25.0,Active,
M100165,VelocityBlack,Standard,2024-11-27,Direct,25.0,Active,
M100166,CapitalOneConcierge,Standard,2025-10-23,Partner,25.0,Active,
M100167,CapitalOneConcierge,Standard,2024-11-13,Direct,25.0,Churned,2025-10-01
M100168,VelocityBlack,Plus,2024-11-21,Direct,60.0,Active,
M100169,CapitalOneConcierge,Plus,2026-01-19,Referral,60.0,Active,
M100170,VelocityBlack,Standard,2024-12-07,Direct,25.0,Active,
M100171,CapitalOneConcierge,Premium,2026-01-09,Direct,150.0,Active,
M100172,VelocityBlack,Plus,2025-03-09,Direct,60.0,Active,
M100173,CapitalOneConcierge,Plus,2025-11-07,Referral,60.0,Active,
M100174,VelocityBlack,Standard,2026-01-23,Direct,25.0,Active,
M100175,VelocityBlack,Standard,2024-11-05,Direct,25.0,Active,
M100176,VelocityBlack,Plus,2025-02-28,Referral,60.0,Active,
M100177,CapitalOneConcierge,Standard,2025-07-10,Partner,25.0,Active,
M100178,CapitalOneConcierge,Plus,2025-12-14,Referral,60.0,Active,
M100179,CapitalOneConcierge,Premium,2024-12-13,Partner,150.0,Active,
M100180,CapitalOneConcierge,Standard,2024-12-12,Partner,25.0,Active,
M100181,CapitalOneConcierge,Plus,2025-03-20,Direct,60.0,Active,
M100182,CapitalOneConcierge,Premium,2024-12-22,Direct,150.0,Active,
M100183,VelocityBlack,Standard,2025-01-25,Partner,25.0,Active,
M100184,CapitalOneConcierge,Standard,2024-11-12,Partner,25.0,Churned,2025-09-25
M100185,CapitalOneConcierge,Premium,2025-11-24,Referral,150.0,Active,
M100186,VelocityBlack,Standard,2025-11-07,Partner,25.0,Active,
M100187,VelocityBlack,Plus,2024-11-20,Direct,60.0,Active,
M100188,CapitalOneConcierge,Standard,2025-06-19,Direct,25.0,Active,
M100189,VelocityBlack,Standard,2025-08-17,Partner,25.0,Active,
M100190,CapitalOneConcierge,Standard,2025-08-07,Direct,25.0,Active,
M100191,VelocityBlack,Plus,2026-02-16,Partner,60.0,Active,
M100192,VelocityBlack,Standard,2025-08-15,Partner,25.0,Active,
M100193,CapitalOneConcierge,Standard,2025-09-09,Direct,25.0,Churned,2025-12-06
M100194,VelocityBlack,Plus,2024-09-20,Partner,60.0,Active,
M100195,VelocityBlack,Premium,2024-10-15,Partner,150.0,Active,
M100196,CapitalOneConcierge,Plus,2025-08-03,Referral,60.0,Active,
M100197,CapitalOneConcierge,Plus,2026-01-06,Direct,60.0,Active,
M100198,VelocityBlack,Premium,2025-04-06,Partner,150.0,Churned,2025-11-25
M100199,VelocityBlack,Plus,2025-08-16,Direct,60.0,Active,
M100200,CapitalOneConcierge,Standard,2024-12-25,Direct,25.0,Active,
M100201,CapitalOneConcierge,Standard,2025-05-07,Direct,25.0,Active,
M100202,CapitalOneConcierge,Standard,2025-10-13,Referral,25.0,Churned,2025-12-28
M100203,VelocityBlack,Plus,2025-08-25,Referral,60.0,Active,
M100204,VelocityBlack,Standard,2024-11-03,Direct,25.0,Active,
M100205,VelocityBlack,Premium,2025-12-21,Partner,150.0,Active,
M100206,VelocityBlack,Plus,2026-01-16,Direct,60.0,Active,
M100207,CapitalOneConcierge,Plus,2025-05-18,Partner,60.0,Active,
M100208,VelocityBlack,Standard,2025-03-06,Direct,25.0,Active,
